,UniProt,updrs_1_sum
0,O00391,5.0
1,O00533,5.0
2,O00584,5.0
3,O14498,5.0
4,O14773,5.0
5,O14791,5.0
6,O15240,5.0
7,O15394,5.0
8,O43505,5.0
9,O60888,5.0
10,O75144,5.0
11,O75326,5.0
12,O94919,5.0
13,P00441,5.0
14,P00450,5.0
15,P00734,5.0
16,P00736,5.0
17,P00738,5.0
18,P00746,5.0
19,P00747,5.0
20,P00748,5.0
21,P00751,5.0
22,P01008,5.0
23,P01009,5.0
24,P01011,5.0
25,P01019,5.0
26,P01023,5.0
27,P01024,5.0
28,P01031,5.0
29,P01033,5.0
30,P01034,5.0
31,P01042,5.0
32,P01344,5.0
33,P01591,5.0
34,P01608,5.0
35,P01621,5.0
36,P01717,5.0
37,P01833,5.0
38,P01834,5.0
39,P01857,5.0
40,P01859,5.0
41,P01860,5.0
42,P01861,5.0
43,P01876,5.0
44,P01877,5.0
45,P02452,5.0
46,P02647,5.0
47,P02649,5.0
48,P02652,5.0
49,P02655,5.0
50,P02656,5.0
51,P02671,5.0
52,P02675,5.0
53,P02679,5.0
54,P02747,5.0
55,P02748,5.0
56,P02749,5.0
57,P02750,5.0
58,P02751,5.0
59,P02753,5.0
60,P02760,5.0
61,P02763,5.0
62,P02765,5.0
63,P02766,5.0
64,P02768,5.0
65,P02774,5.0
66,P02787,5.0
67,P02790,5.0
68,P02792,5.0
69,P04004,5.0
70,P04075,5.0
71,P04156,5.0
72,P04180,5.0
73,P04196,5.0
74,P04207,5.0
75,P04211,5.0
76,P04216,5.0
77,P04217,5.0
78,P04275,5.0
79,P04433,5.0
80,P05060,5.0
81,P05067,5.0
82,P05090,5.0
83,P05155,5.0
84,P05156,5.0
85,P05408,5.0
86,P05452,5.0
87,P06396,5.0
88,P06454,5.0
89,P06681,5.0
90,P06727,5.0
91,P07195,5.0
92,P07225,5.0
93,P07333,5.0
94,P07339,5.0
95,P07602,5.0
96,P07711,5.0
97,P07858,5.0
98,P07998,5.0
99,P08123,5.0
100,P08133,5.0
101,P08253,5.0
102,P08294,5.0
103,P08493,5.0
104,P08571,5.0
105,P08603,5.0
106,P08637,5.0
107,P08697,5.0
108,P09104,5.0
109,P09486,5.0
110,P09871,5.0
111,P10451,5.0
112,P10643,5.0
113,P10645,5.0
114,P10909,5.0
115,P11277,5.0
116,P12109,5.0
117,P13473,5.0
118,P13521,5.0
119,P13591,5.0
120,P13611,5.0
121,P13671,5.0
122,P13987,5.0
123,P14174,5.0
124,P14314,5.0
125,P14618,5.0
126,P16035,5.0
127,P16070,5.0
128,P16152,5.0
129,P16870,5.0
130,P17174,5.0
131,P17936,5.0
132,P18065,5.0
133,P19652,5.0
134,P19823,5.0
135,P19827,5.0
136,P20774,5.0
137,P20933,5.0
138,P23142,5.0
139,P24592,5.0
140,P25311,5.0
141,P30086,5.0
142,P31997,5.0
143,P32754,5.0
144,P35542,5.0
145,P36222,5.0
146,P36955,5.0
147,P36980,5.0
148,P39060,5.0
149,P40925,5.0
150,P41222,5.0
151,P43121,5.0
152,P43251,5.0
153,P43652,5.0
154,P49908,5.0
155,P51884,5.0
156,P54289,5.0
157,P55290,5.0
158,P61278,5.0
159,P61626,5.0
160,P61769,5.0
161,P61916,5.0
162,P80748,5.0
163,P98160,5.0
164,Q02818,5.0
165,Q06481,5.0
166,Q08380,5.0
167,Q12805,5.0
168,Q12841,5.0
169,Q12907,5.0
170,Q13283,5.0
171,Q13332,5.0
172,Q13449,5.0
173,Q13451,5.0
174,Q13740,5.0
175,Q14118,5.0
176,Q14508,5.0
177,Q14515,5.0
178,Q14624,5.0
179,Q15904,5.0
180,Q16270,5.0
181,Q16610,5.0
182,Q6UXB8,5.0
183,Q6UXD5,5.0
184,Q7Z3B1,5.0
185,Q7Z5P9,5.0
186,Q8IWV7,5.0
187,Q8N2S1,5.0
188,Q8NBJ4,5.0
189,Q8NE71,5.0
190,Q92520,5.0
191,Q92823,5.0
192,Q92876,5.0
193,Q96BZ4,5.0
194,Q96KN2,5.0
195,Q96PD5,5.0
196,Q96S96,5.0
197,Q99435,5.0
198,Q99674,5.0
199,Q99969,5.0
200,Q9BY67,5.0
201,Q9HDC9,5.0
202,Q9NQ79,5.0
203,Q9NYU2,5.0
204,Q9UBR2,5.0
205,Q9UBX5,5.0
206,Q9UHG2,5.0
207,Q9UKV8,5.0
208,Q9Y646,5.0
209,Q9Y6R7,5.0
